item_type,date_uploaded,source_file,creator,title,creation_date,source_url,format,description,digital_id,rights_advisory,language,location,notes,subject,image_url
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-15024019.json,"['Zuver, Embrie.']","How to write photoplays,",Creation Date Unavailable,Source URL Unavailable,{'book': 'https://www.loc.gov/search/?fa=original_format:book&fo=json'},Description Unavailable,Digital ID Unavailable,Undetermined,['english'],Location Information Unavailable,"['Earlier editions have title: Photoplay writing.', 'Sample scenario (Timid Teddy): xiv numb. 1. at end.', 'Cover title: How to write successful photoplays.', 'Also available in digital form.']",['motion pictures'],https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:howtowritephotop00zuve:howtowritephotop00zuve_0007/full/pct:25.0/0/default.jpg#h=1205&w=775
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2003689462.json,Creator Information Unavailable,Edison's greatest marvel--The Vitascope,1896-01-01,https://www.loc.gov/pictures/item/2003689462/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}","Motion picture poster for ""Edison's greatest marvel--The Vitascope"" show movie audience watching large screen with woman dancing on screen and others in background watching.",//hdl.loc.gov/loc.pnp/ppmsc.03761,No known restrictions on publication.,['english'],Location Information Unavailable,"['29057B U.S. Copyright Office.', 'Title from item.', 'Copyright 1896 by Raff & Gammon.', 'No. 29057B2.', 'No. 1. Published in: The tradition of technology : Landmarks of Western technology ... / Leonard C. Bruno. Washington, D.C. : Library of Congress, 1995, p. 250.', 'No. 1. Published in: Eyes of the nation : a visual history of the United States / Vincent Virga and curators of the Library of Congress ; historical commentary by Alan Brinkley. New York : Knopf, 1997.', 'No. 1a. Exhibited: On the Edge of Your Seat: Popular Theater and Film in Early 20th Century American Art, Weisman Art Museum, University of Minnesota, Minneapolis, 2002-03.', 'No. 1a. Exhibited: ""Moving Pictures : The Un-easy Relationship between American Art and Early Film"" at the Williams College of Art, MA, and other venues, 2005-2007.']","['edison, thomas a.', '(thomas alva)', 'motion picture posters', 'motion picture devices', 'advertisements', 'posters', 'lithographs', 'associated objects', 'color', 'american', 'motion picture theaters']",https://tile.loc.gov/storage-services/service/pnp/ppmsc/03700/03761t.gif#h=113&w=150
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2005676198.json,Creator Information Unavailable,"""American"", Conton [i.e., Canton], N.Y. $70,000 moving picture theater erected by Byron H. Rogers, 1921",1920-01-01,https://www.loc.gov/pictures/item/2005676198/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}","Interior of theater showing stage, screen, and seats.",https://hdl.loc.gov/loc.pnp/ppmsca.73356,No known restrictions on publication.,['english'],"['new york', 'canton']","['Title from item.', 'Wittemann Collection.']","['new york', 'canton', 'photographic prints', 'motion picture theaters']",https://tile.loc.gov/storage-services/service/pnp/ppmsca/73300/73356r.jpg#h=411&w=640
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2010640920.json,"['Highsmith, Carol M., 1946-, photographer']","[Ritz Theatre, Greenville, Alabama]",2010-01-01,https://www.loc.gov/pictures/item/2010640920/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Description Unavailable,//hdl.loc.gov/loc.pnp/highsm.09107,No known restrictions on publication.,['english'],"['greenville', 'alabama', 'united states']","['Built in 1935, Greenville\'s first genuine ""movie palace"" was the brainchild of local attorney Calvin Poole.', 'Title, date, subject note, and keywords provided by the photographer.', ""Credit line: The George F. Landegger Collection of Alabama Photographs in Carol M. Highsmith's America, Library of Congress, Prints and Photographs Division."", 'Gift; George F. Landegger; 2010; (DLC/PP-2010:090).', ""Forms part of the George F. Landegger Collection of Alabama Photographs in Carol M. Highsmith's America Project in the Carol M. Highsmith Archive.""]","['greenville', 'historic', 'alabama', 'movie theaters', 'digital photographs', 'color', 'united states', 'america']",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:09100:09107/full/pct:12.5/0/default.jpg#h=573&w=508
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2012645955.json,Creator Information Unavailable,"Madam, how would you like to sit behind the hat you are wearing",1912-01-01,https://www.loc.gov/pictures/item/2012645955/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}","Positive paper print from lantern slide used in motion picture theaters as announcement. Each text superimposed on humorous photograph, and the whole shown in a fancy carved frame.",//hdl.loc.gov/loc.pnp/cph.3a11232,No known restrictions on publication.,['english'],Location Information Unavailable,"['J170034 U.S. Copyright Office', 'Copyright June 7, 1912 by Scott and Van Altena.', 'Title and other information transcribed from item.']","['etiquette', 'motion picture theaters', 'gelatin silver prints', 'reproductions', 'lantern slides']",https://tile.loc.gov/storage-services/service/pnp/cph/3a10000/3a11000/3a11200/3a11232t.gif#h=125&w=150
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2012645957.json,Creator Information Unavailable,Kindly remain seated,1912-01-01,https://www.loc.gov/pictures/item/2012645957/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}","Photo shows children at beach. Positive paper print from lantern slide used in motion picture theaters as announcement. Each text superimposed on humorous photograph, and the whole shown in a fancy carved frame.",//hdl.loc.gov/loc.pnp/cph.3a13964,No known restrictions on publication.,['english'],Location Information Unavailable,"['J170063 U.S. Copyright Office', 'Copyright June 7, 1912 by Scott and Van Altena.', 'Title and other information transcribed from item.']","['lantern slides', 'motion picture theaters', 'etiquette', 'reproductions', 'gelatin silver prints']",https://tile.loc.gov/storage-services/service/pnp/cph/3a10000/3a13000/3a13900/3a13964t.gif#h=125&w=150
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2013631047.json,"['Highsmith, Carol M., 1946-, photographer']","Tower Theatre, a Sacramento landmark, built in 1938, that is famous for its neon displays",2012-01-01,https://www.loc.gov/pictures/item/2013631047/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Description Unavailable,//hdl.loc.gov/loc.pnp/highsm.23869,No known restrictions on publication.,['english'],"['sacramento', 'california', 'united states']","['Title, date, and keywords provided by the photographer.', 'Visitors sometimes associate the glowing tower with Tower Records, a nationwide retail giant founded in Sacramento.', ""Credit line: The Jon B. Lovelace Collection of California Photographs in Carol M. Highsmith's America Project, Library of Congress, Prints and Photographs Division."", 'Gift; The Capital Group Companies Charitable Foundation in memory of Jon B. Lovelace; 2012; (DLC/PP-2012:063).', ""Forms part of: Jon B. Lovelace Collection of California Photographs in Carol M. Highsmith's America Project in the Carol M. Highsmith Archive.""]","['sacramento', 'movie theaters', 'digital photographs', 'america', 'color', 'tower theatre', 'california', 'united states', 'tower records']",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:23800:23869/full/pct:12.5/0/default.jpg#h=920&w=614
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2013631459.json,"['Highsmith, Carol M., 1946-, photographer']","Marquee of the Pantages Theatre, a legendary movie and vaudeville palace in the Hollywood section of Los Angeles, California",2013-01-01,https://www.loc.gov/pictures/item/2013631459/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Description Unavailable,//hdl.loc.gov/loc.pnp/highsm.24281,No known restrictions on publication.,['english'],"['california', 'united states', 'los angeles']","['Title, date, and keywords provided by the photographer.', 'Designed by architect B. Marcus Priteca, it was the last theater built by the vaudeville impresario Alexander Pantages. The palatial Art Deco theater opened on June 4, 1930.', ""Credit line: The Jon B. Lovelace Collection of California Photographs in Carol M. Highsmith's America Project, Library of Congress, Prints and Photographs Division."", 'Gift; The Capital Group Companies Charitable Foundation in memory of Jon B. Lovelace; 2012; (DLC/PP-2012:063).', ""Forms part of: Jon B. Lovelace Collection of California Photographs in Carol M. Highsmith's America Project in the Carol M. Highsmith Archive.""]","['vaudeville', 'color', 'hollywood', 'pantages theatre', 'california', 'digital photographs', 'united states', 'movie palaces', 'america', 'los angeles']",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:24200:24281/full/pct:25/0/default.jpg#h=469&w=820
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2013645585.json,Creator Information Unavailable,"If you expect to rate as a gentleman, you will not expectorate on the floor",1907-01-01,https://www.loc.gov/pictures/item/2013645585/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Paper print made from lantern slide used as announcemenet in motion picture theaters. Text appears with a border design.,//hdl.loc.gov/loc.pnp/cph.3a14314,No known restrictions on publication.,['english'],Location Information Unavailable,"['""No. B 17.""', 'Copyright claimant: Electro Mechanical Co., Cleveland, Ohio.', 'Title from item.']","['etiquette', 'motion picture theaters', 'gelatin silver prints', 'reproductions', 'lantern slides']",https://tile.loc.gov/storage-services/service/pnp/cph/3a10000/3a14000/3a14300/3a14314t.gif#h=118&w=150
Item,2024-12-18,../si676-assignment-1.1/movie-item-metadata\movie-item_metadata-2014631202.json,"['Highsmith, Carol M., 1946-, photographer']","The Art Deco Palace Theater, a onetime movie theater in downtown Marfa, Texas",2014-01-01,https://www.loc.gov/pictures/item/2014631202/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Description Unavailable,//hdl.loc.gov/loc.pnp/highsm.27002,No known restrictions on publication.,['english'],"['marfa', 'texas', 'united states']","['Title, date, and keywords based on information provided by the photographer.', 'It was the Marfa Opera House before its cinematic incarnation, but closed in the 1970s. As of this photograph in 2014, a local illustrator used the building as his studio. The Palace\'s claim to fame was the nightly screenings in 1955 of Elizabeth Taylor and James Dean pictures while George Stevens and his Warner Brothers crew (including movie stars) were shooting ""Giant"" outside of town. The daily footage was screened across the street at the Texas Theater.', ""Credit line: The Lyda Hill Texas Collection of Photographs in Carol M. Highsmith's America Project, Library of Congress, Prints and Photographs Division."", 'Gift; The Lyda Hill Foundation; 2014; (DLC/PP-2014:054).', ""Forms part of: Lyda Hill Texas Collection of Photographs in Carol M. Highsmith's America Project in the Carol M. Highsmith Archive.""]","['marfa', 'movie theaters', 'digital photographs', 'movie giant', 'texas', 'color', 'united states', 'elizabeth taylor', 'america', 'james dean']",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:27000:27002/full/pct:12.5/0/default.jpg#h=772&w=614
